priority,source_id,material,images_or_specimens,imaging,properties,linkage,status,url
1,zenodo-14163786,LPBF IN718,22 BSE-SEM images,BSE-SEM,"HV1; yield; UTS; elongation; reduction of area; modulus","same archive; beam strategy + state + temperature; tensile orientation unresolved",integrated,https://zenodo.org/records/14163786
2,zenodo-16603134,LPBF IN718 with carbide additives,large SEM archive,SEM and EBSD,"tensile property map; other mechanical properties","same archive; process + chemistry + specimen metadata",downloaded-verified,https://zenodo.org/records/16603134
3,zenodo-18800251,LPBF 316L,3 material variants,SEM and EBSD,hardness,"same archive; material variant + process condition",downloaded-verified,https://zenodo.org/records/18800251
4,mendeley-y6ryrw666r,WAAM steel,top/middle/bottom locations,optical microscopy,Vickers hardness,"same archive; build location",queued,https://data.mendeley.com/datasets/y6ryrw666r/1
5,mendeley-66wvhh26ps,30CrMnSiA steel,multiple treatment states,"OM; SEM; TEM","yield; UTS; elongation; hardness","same archive; heat-treatment state",queued,https://data.mendeley.com/datasets/66wvhh26ps/1
6,zenodo-19813205,AM 316L hydrogen embrittlement,multiple charge and anneal states,"fracture SEM; optical microscopy","tensile; hardness","same archive; charge + anneal state; fracture surface can use orientation",queued,https://zenodo.org/records/19813205
7,zenodo-8090777,laser metal deposition coupons,37 pieces,"piece and cross-section images","tensile; hardness","same archive; process parameters + piece id",queued-large,https://zenodo.org/records/8090777
8,zenodo-17846617,CMSX-6,"2 explicit SEM TIFFs; 2 overview micrographs",SEM,980 C tensile,"same archive; small audited high-temperature reference set",queued-metadata,https://zenodo.org/records/17846617
9,zenodo-10008435,LPBF AlSi10Mg,60 processing states,"SEM; EBSD; XCT","HV; yield; UTS; elongation; modulus","same archive; process-set identifiers; strongest scoped image-to-property candidate",queued-metadata,https://zenodo.org/records/10008435
10,zenodo-6587905,LPBF Ti-6Al-4V,42 processing states,"optical microscopy; XCT","HV; yield; UTS; elongation; modulus","same archive; process-set identifiers; raw microscopy is optical rather than SEM",queued-metadata,https://zenodo.org/records/6587905
11,zenodo-17037765,LPBF Ti-6Al-4V with Cu additions,"51 light-microscopy and SEM images","SEM; EDS; optical microscopy","process parameters; relative density; no mechanical properties advertised","same archive; useful for representation learning but not direct property supervision",queued-metadata,https://zenodo.org/records/17037765
12,zenodo-15124437,SLM EN AW 7075,"multiple process and preheat states","SEM; EBSD/GROD; optical microscopy","process parameters; thermal simulation; no mechanical-property table advertised","same archive; strong aluminium structure/process source",queued-metadata,https://zenodo.org/records/15124437
